"","k","n","avg.silwidth","ch","within.cluster.ss","dunn","dunn2","wb.ratio","sindex","entropy","average.between"
"1",2,292,0.255349245474329,113.974306763935,216.072667937009,0.114267681625501,1.3518245986484,0.733480456680037,0.515154492793331,0.66893155888142,1.60221967516894
"2",3,292,0.158032531665959,73.9620930657064,199.089033215049,0.167419377345824,1.11986152830049,0.741078488941471,0.468686830383019,1.03635510112789,1.51616247424168
"3",4,292,0.141766571751681,60.3870760398782,184.76765805498,0.147518942648432,0.958613310543793,0.720244437634788,0.461289656569673,1.28994467220704,1.50182809485903
"4",5,292,0.10832072973708,50.8847116116937,176.101912336364,0.147518942648432,0.862854081447957,0.720455293253056,0.453274282662564,1.568862047464,1.46534461191561
"5",6,292,0.0970797192260361,43.5502770763619,170.885557831257,0.127883232828046,0.886275259966262,0.715008614429495,0.430156733995473,1.73080832053651,1.45463214918755
"6",7,292,0.105153014805787,41.0601763986889,161.439839651593,0.138479894409675,0.929200768652362,0.700252222555856,0.423284112714398,1.83467149067313,1.4501349610921
"7",8,292,0.0992661852842791,38.0491877612913,155.324311350125,0.127425589253922,0.896677324005952,0.688612885311395,0.427075106343693,1.94766874776118,1.44539160777502
"8",9,292,0.0951235517892504,34.5676614332951,152.233374895486,0.127425589253922,0.878484143824279,0.68858930290574,0.414667810661755,2.12792296513263,1.43261697930977
"9",10,292,0.0961989945307796,32.0060245448571,148.89788312317,0.116342008375443,0.86772238039952,0.683295853034188,0.405770900381776,2.21538727910736,1.43068629507392
"10",11,292,0.0965184561103536,29.9998182625741,145.575109960648,0.141440216190216,0.765939517116554,0.676132485042453,0.417149440686237,2.28012957676517,1.43042297290472
"11",12,292,0.0842798676573758,28.7851036400606,141.255073622631,0.125,0.790501956086393,0.669727947312669,0.389030220406555,2.35302870640157,1.42603484903733
"12",13,292,0.080750362653322,26.9482021840079,139.408859611191,0.116342008375443,0.771595377141545,0.66835421623508,0.384125935654495,2.48338367196772,1.41670204138634
"13",14,292,0.0983925001463729,26.8212736932067,133.5232600406,0.118494724436069,0.782143066919834,0.657840613117139,0.384125935654495,2.52007625268278,1.41871700595449
"14",15,292,0.0952601012200798,25.9727555914794,130.147497135022,0.125,0.759604970026437,0.651969798047714,0.384125935654495,2.60764608065445,1.41575117175091
